52015012810093969ERCE                       260553562M      M11PPYZAGMSX00
52015012810093969ERCE                       260553563M      M02PTAAAGMSQ00
52015012810093969ERCE                       260553563M      M05PTAAAGMSQ00
52015012810093969ERCE                       260553563M      M08PTAAAGMSQ00
52015012810093969ERCE                       260553556H000003M02PVJKAGMSL00
52015012810093969ERCE                       260553556H000003M05PVJKAGMSL00
52015012810093969ERCE                       260553556H000003M08PVJKAGMSL00
52015012810093969ERCE                       181250737S000002D01P1AAAGMJQ00
52015012810093969ERCE                       262976887M      M03P2PPAGMJF00
52015012810093969ERCE                       262976887M      M06P2PPAGMJF00
52015012810093969ERCE                       260538787M      M03EATVAGQZW00
52015012810093969ERCE                       263189835M      M01ECJKAGQY000
52015012810093969ERCE                       260538777M      M01EDPPAGQZT01
52015012810093969ERCE                       260925477D000002D02EDPPAGQZX00
52015012810093969ERCE                       263328973M      D02PVTVAGMV600
52015012810093969ERCE                       263328973M      D05PVTVAGMV600
52015012810093969ERCE                       263212640M      M02PWFFAGMVV00
52015012810093969ERCE                       263212640M      M05PWFFAGMVV00
52015012810093969ERCE                       263212640M      M08PWFFAGMVV00
52015012810093969ERCE                       263212640M      M11PWFFAGMVV00
52015012810093969ERCE                       263212640M      M14PWFFAGMVV00
52015012810093969ERCE                       263212640M      M17PWFFAGMVV00
52015012810093969ERCE                       181250740S000003D01PWPPAGMV600
52015012810093969ERCE                       263038229W000003M03PXAAAGMT602
52015012810093969ERCE                       263038229W000003M06PXAAAGMT602
52015012810093969ERCE                       181250743D000005D01PYPPAGMVZ00
52015012810093969ERCE                       261776118M      M03PZJKAGMV200
52015012810093969ERCE                       261776118M      M02P1TVAGML000
52015012810093969ERCE                       260538782D000002M01P3TVAGMLJ00
52015012810093969ERCE                       263328752M      D01P5AAAGMLX00
52015012810093969ERCE                       181239519M      M03EBFFAF3PX00
52015012810093969ERCE                       261652766M      M01P4PPAGMCH00
52015012810093969ERCE                       181250731H000002D01P4YZAGMBW00
52015012810093969ERCE                       261938956M      M01EPFFAFNA200
52015012810093969ERCE                       261652766M      M01EV34AFNAY00
52015012810093969ERCE                       261652766M      M01PNFFAGMM100
52015012810093969ERCE                       261652766M      M01PZAAAGMMR00
52015012810093969ERCE                       181250741S000005D01PZ34AGMPQ00
52015012810093969ERCE                       260553556M      M01P0YZAGMFW00
52015012810093969ERCE                       260553556M      M01P3TVAGMFL00
52015012810093969ERCE                       261029713M      D01PHPPAHWDB00
52015012810093969ERCE                       263328819M      D01PTTVAGMP800
52015012810093969ERCE                       181250751M      D01PV34AGMPT00
52015012810093969ERCE                       261659604M      M01P4FFAGMFS01
52015012810093969ERCE                       181250746D000003D01EBYZAGQV600
52015012810093969ERCE                       181239514M      M01ECJKAGQV800
52015012810093969ERCE                       262976888M      M03E134AFNDW00
52015012810093969ERCE                       261654171M      D03PQ34AGMSL00
52015012810093969ERCE                       260553556M      M03P3JKAGMHV00
52015012810093969ERCE                       262075915M      M03P3TVAGMHJ00
52015012810093969ERCE                       261632932M      M02P5AAAGMHX00
52015012810093969ERCE                       261093708D000004M03P5AAAGMHZ00
52015012810093969ERCE                       181250754M      D01EBFFAGQYR00
52015012810093969ERCE                       262976888M      M02ECJKAGQY300
52015012810093969ERCE                       181250748M      D03EC34AGQLX00
52015012810093969ERCE                       262976894M      M03EGTVAGQYY00
52015012810093969ERCE                       263213067M      M01EPPPAFNG900
52015012810093969ERCE                       263184196W000002M01PCAAAHWGP00
52015012810093969ERCE                       181250747M      D01PRFFAGMJW00
52015012810093969ERCE                       263213067M      M02PRFFAGMSG00
52015012810093969ERCE                       263327136H000002D01PTJKAGMSH00
52015012810093969ERCE                       181250738M      D02ECTVAGQ2D00
52015012810093969ERCE                       181250737M      D02EDFFAGQ2A00
52015012810093969ERCE                       263328972W000002D01EFFFAGQ2B00
52015012810093969ERCE                       262976893M      M01EHFFAGQ1900
